Lambda,Sparsity,Condition Number,Rank
0.005,0.011368477470397043,44.93178033768374,2913
0.11555555555555556,0.011368477470397043,2.9009141429830922,2913
0.22611111111111112,0.011368477470397043,1.9714747735095504,2913
0.33666666666666667,0.011368477470397043,1.652459181649272,2913
0.44722222222222224,0.011368477470397043,1.491168049546271,2913
0.5577777777777778,0.011368477470397043,1.3938150293073652,2913
0.6683333333333333,0.011368477470397043,1.3286702375796202,2913
0.778888888888889,0.011368477470397043,1.282018759186711,2913
0.8894444444444445,0.011368477470397043,1.2469645870173685,2913
1.0,0.011368477470397043,1.2196612813835113,2913
