Lambda,Condition,Condition Number
0.300810811,1.365637078,2.652144597
0.301806807,1.364430437,2.646692336
0.302802803,1.363231733,2.641275943
0.303798799,1.362040889,2.635895065
0.304794795,1.360857827,2.630549354
0.305790791,1.359682473,2.625238466
0.306786787,1.35851475,2.619962062
0.307782783,1.357354585,2.614719807
0.308778779,1.356201904,2.609511371
0.309774775,1.355056635,2.604336428
0.310770771,1.353918707,2.599194655
0.311766767,1.35278805,2.594085735
0.312762763,1.351664595,2.589009354
0.313758759,1.350548271,2.583965202
0.314754755,1.349439013,2.578952973
0.315750751,1.348336753,2.573972364
0.316746747,1.347241424,2.569023078
0.317742743,1.346152963,2.564104821
0.318738739,1.345071304,2.5592173
0.319734735,1.343996384,2.55436023
0.320730731,1.342928139,2.549533325
0.321726727,1.341866509,2.544736307
0.322722723,1.340811432,2.539968898
0.323718719,1.339762848,2.535230825
0.324714715,1.338720695,2.530521819
0.325710711,1.337684917,2.525841611
0.326706707,1.336655454,2.52118994
0.327702703,1.335632248,2.516566545
0.328698699,1.334615244,2.511971169
0.329694695,1.333604384,2.507403558
0.330690691,1.332599613,2.50286346
0.331686687,1.331600877,2.498350629
0.332682683,1.33060812,2.493864819
0.333678679,1.329621291,2.489405789
0.334674675,1.328640334,2.484973299
0.335670671,1.3276652,2.480567113
0.336666667,1.326695834,2.476186997
0.337662663,1.325732188,2.471832721
0.338658659,1.324774209,2.467504057
0.339654655,1.323821849,2.46320078
0.340650651,1.322875058,2.458922667
0.341646647,1.321933788,2.454669497
0.342642643,1.320997989,2.450441054
0.343638639,1.320067615,2.446237122
0.344634635,1.319142619,2.442057489
0.345630631,1.318222954,2.437901944
0.346626627,1.317308573,2.43377028
0.347622623,1.316399433,2.429662293
0.348618619,1.315495487,2.425577778
0.349614615,1.314596692,2.421516535
0.350610611,1.313703003,2.417478367
0.351606607,1.312814377,2.413463076
0.352602603,1.311930772,2.409470469
0.353598599,1.311052144,2.405500355
0.354594595,1.310178452,2.401552543
0.355590591,1.309309655,2.397626846
0.356586587,1.30844571,2.39372308
0.357582583,1.307586579,2.38984106
0.358578579,1.30673222,2.385980606
0.359574575,1.305882594,2.382141538
0.360570571,1.305037663,2.37832368
0.361566567,1.304197386,2.374526855
0.362562563,1.303361725,2.370750891
0.363558559,1.302530644,2.366995616
0.364554555,1.301704103,2.36326086
0.365550551,1.300882067,2.359546457
0.366546547,1.300064498,2.355852239
0.367542543,1.29925136,2.352178042
0.368538539,1.298442617,2.348523706
0.369534535,1.297638234,2.344889068
0.370530531,1.296838175,2.34127397
0.371526527,1.296042406,2.337678255
0.372522523,1.295250892,2.334101767
0.373518519,1.294463599,2.330544353
0.374514515,1.293680493,2.327005861
0.375510511,1.292901542,2.323486139
0.376506507,1.292126712,2.319985039
0.377502503,1.291355971,2.316502414
0.378498498,1.290589286,2.313038117
0.379494494,1.289826625,2.309592004
0.38049049,1.289067957,2.306163933
0.381486486,1.288313251,2.302753763
0.382482482,1.287562475,2.299361352
0.383478478,1.286815599,2.295986564
0.384474474,1.286072593,2.292629261
0.38547047,1.285333426,2.289289307
0.386466466,1.284598069,2.285966568
0.387462462,1.283866493,2.282660913
0.388458458,1.283138668,2.279372208
0.389454454,1.282414566,2.276100324
0.39045045,1.281694158,2.272845133
0.391446446,1.280977416,2.269606507
0.392442442,1.280264313,2.26638432
0.393438438,1.279554819,2.263178447
0.394434434,1.278848909,2.259988764
0.39543043,1.278146555,2.25681515
0.396426426,1.27744773,2.253657482
0.397422422,1.276752408,2.250515642
0.398418418,1.276060562,2.24738951
0.399414414,1.275372167,2.244278969
0.40041041,1.274687196,2.241183902
0.401406406,1.274005625,2.238104195
0.402402402,1.273327427,2.235039733
0.403398398,1.272652579,2.231990404
0.404394394,1.271981055,2.228956095
0.40539039,1.27131283,2.225936696
0.406386386,1.270647881,2.222932097
0.407382382,1.269986183,2.21994219
0.408378378,1.269327713,2.216966867
0.409374374,1.268672447,2.214006022
0.41037037,1.268020362,2.211059549
0.411366366,1.267371434,2.208127344
0.412362362,1.266725641,2.205209304
0.413358358,1.26608296,2.202305326
0.414354354,1.265443369,2.199415308
0.41535035,1.264806845,2.196539151
0.416346346,1.264173367,2.193676755
0.417342342,1.263542912,2.190828021
0.418338338,1.26291546,2.187992852
0.419334334,1.262290988,2.185171151
0.42033033,1.261669475,2.182362822
0.421326326,1.261050901,2.179567771
0.422322322,1.260435245,2.176785904
0.423318318,1.259822485,2.174017127
0.424314314,1.259212602,2.171261348
0.42531031,1.258605576,2.168518476
0.426306306,1.258001386,2.165788421
0.427302302,1.257400013,2.163071093
0.428298298,1.256801437,2.160366403
0.429294294,1.256205638,2.157674263
0.43029029,1.255612597,2.154994586
0.431286286,1.255022296,2.152327286
0.432282282,1.254434715,2.149672277
0.433278278,1.253849835,2.147029474
0.434274274,1.253267637,2.144398794
0.43527027,1.252688105,2.141780153
0.436266266,1.252111218,2.139173468
0.437262262,1.251536959,2.136578659
0.438258258,1.250965311,2.133995644
0.439254254,1.250396255,2.131424342
0.44025025,1.249829774,2.128864675
0.441246246,1.24926585,2.126316563
0.442242242,1.248704466,2.123779929
0.443238238,1.248145605,2.121254695
0.444234234,1.247589251,2.118740784
0.44523023,1.247035385,2.116238121
0.446226226,1.246483992,2.11374663
0.447222222,1.245935055,2.111266236
0.448218218,1.245388557,2.108796866
0.449214214,1.244844483,2.106338446
0.45021021,1.244302816,2.103890903
0.451206206,1.24376354,2.101454166
0.452202202,1.24322664,2.099028163
0.453198198,1.2426921,2.096612823
0.454194194,1.242159905,2.094208077
0.45519019,1.241630038,2.091813854
0.456186186,1.241102485,2.089430085
0.457182182,1.24057723,2.087056703
0.458178178,1.24005426,2.08469364
0.459174174,1.239533558,2.082340828
0.46017017,1.23901511,2.0799982
0.461166166,1.238498901,2.077665692
0.462162162,1.237984917,2.075343237
0.463158158,1.237473144,2.073030771
0.464154154,1.236963568,2.070728229
0.46515015,1.236456173,2.068435548
0.466146146,1.235950947,2.066152664
0.467142142,1.235447875,2.063879515
0.468138138,1.234946944,2.061616039
0.469134134,1.23444814,2.059362173
0.47013013,1.233951449,2.057117857
0.471126126,1.233456858,2.054883031
0.472122122,1.232964355,2.052657633
0.473118118,1.232473924,2.050441606
0.474114114,1.231985555,2.048234889
0.47511011,1.231499233,2.046037424
0.476106106,1.231014945,2.043849153
0.477102102,1.23053268,2.041670019
0.478098098,1.230052424,2.039499964
0.479094094,1.229574165,2.037338932
0.48009009,1.22909789,2.035186866
0.481086086,1.228623587,2.033043711
0.482082082,1.228151244,2.030909412
0.483078078,1.227680849,2.028783913
0.484074074,1.22721239,2.026667162
0.48507007,1.226745854,2.024559103
0.486066066,1.22628123,2.022459683
0.487062062,1.225818507,2.020368849
0.488058058,1.225357672,2.018286549
0.489054054,1.224898714,2.016212731
0.49005005,1.224441622,2.014147342
0.491046046,1.223986384,2.012090332
0.492042042,1.223532989,2.010041649
0.493038038,1.223081426,2.008001244
0.494034034,1.222631683,2.005969066
0.49503003,1.22218375,2.003945065
0.496026026,1.221737617,2.001929192
0.497022022,1.221293271,1.999921399
0.498018018,1.220850702,1.997921637
0.499014014,1.220409901,1.995929857
0.50001001,1.219970855,1.993946013
0.501006006,1.219533555,1.991970056
0.502002002,1.21909799,1.99000194
0.502997998,1.21866415,1.988041618
0.503993994,1.218232025,1.986089044
0.50498999,1.217801604,1.984144172
0.505985986,1.217372878,1.982206957
0.506981982,1.216945837,1.980277354
0.507977978,1.21652047,1.978355317
